transaction_id,date,region,category,product,revenue,cost,units,customer_id,segment,status,profit,margin_pct,month,quarter,year,revenue_per_unit,margin_flag
1,2024-01-05,North,Electronics,Laptop,1200,800,3,C001,Enterprise,valid,400,33.33,2024-01,2024Q1,2024,400.0,Average
2,2024-01-12,South,Apparel,Jacket,250,90,5,C002,Retail,valid,160,64.0,2024-01,2024Q1,2024,50.0,Good
3,2024-02-03,East,Electronics,Phone,900,500,4,C003,Retail,valid,400,44.44,2024-02,2024Q1,2024,225.0,Good
4,2024-02-18,West,Home,Sofa,700,300,2,C001,Enterprise,valid,400,57.14,2024-02,2024Q1,2024,350.0,Good
5,2024-03-07,North,Electronics,Tablet,450,200,6,C004,SMB,valid,250,55.56,2024-03,2024Q1,2024,75.0,Good
6,2024-03-22,South,Apparel,Sneakers,180,60,8,C005,Retail,valid,120,66.67,2024-03,2024Q1,2024,22.5,Good
7,2024-04-10,East,Home,Lamp,120,45,10,C002,Retail,valid,75,62.5,2024-04,2024Q2,2024,12.0,Good
8,2024-04-28,West,Electronics,Monitor,620,350,3,C006,Enterprise,valid,270,43.55,2024-04,2024Q2,2024,206.67,Good
9,2024-05-14,North,Apparel,T-Shirt,90,25,15,C003,Retail,valid,65,72.22,2024-05,2024Q2,2024,6.0,Good
10,2024-05-30,South,Electronics,Headphones,340,150,7,C007,SMB,valid,190,55.88,2024-05,2024Q2,2024,48.57,Good
11,2024-06-08,East,Home,Table,560,210,2,C004,SMB,valid,350,62.5,2024-06,2024Q2,2024,280.0,Good
12,2024-06-25,West,Electronics,Laptop,1350,850,2,C008,Enterprise,valid,500,37.04,2024-06,2024Q2,2024,675.0,Average
13,2024-07-03,North,Home,Chair,310,120,4,C005,Retail,valid,190,61.29,2024-07,2024Q3,2024,77.5,Good
14,2024-07-19,South,Apparel,Jacket,275,95,4,C009,Retail,valid,180,65.45,2024-07,2024Q3,2024,68.75,Good
15,2024-08-06,East,Electronics,Phone,980,530,5,C010,Enterprise,valid,450,45.92,2024-08,2024Q3,2024,196.0,Good
16,2024-08-21,West,Home,Sofa,760,320,1,C006,Enterprise,valid,440,57.89,2024-08,2024Q3,2024,760.0,Good
17,2024-09-09,North,Electronics,Tablet,490,220,5,C001,Enterprise,valid,270,55.1,2024-09,2024Q3,2024,98.0,Good
18,2024-09-27,South,Apparel,Sneakers,210,70,9,C002,Retail,valid,140,66.67,2024-09,2024Q3,2024,23.33,Good
19,2024-10-15,East,Home,Lamp,140,50,12,C007,SMB,valid,90,64.29,2024-10,2024Q4,2024,11.67,Good
20,2024-10-31,West,Electronics,Monitor,680,370,4,C003,Retail,valid,310,45.59,2024-10,2024Q4,2024,170.0,Good
21,2024-11-05,North,Electronics,Laptop,1100,750,2,C009,Enterprise,valid,350,31.82,2024-11,2024Q4,2024,550.0,Average
22,2024-11-18,South,Home,Chair,290,110,3,C004,SMB,valid,180,62.07,2024-11,2024Q4,2024,96.67,Good
23,2024-12-01,East,Apparel,Jacket,260,88,6,C005,Retail,valid,172,66.15,2024-12,2024Q4,2024,43.33,Good
24,2024-12-15,West,Electronics,Phone,950,510,3,C010,Enterprise,valid,440,46.32,2024-12,2024Q4,2024,316.67,Good
25,2024-12-28,North,Home,Table,480,190,2,C006,SMB,valid,290,60.42,2024-12,2024Q4,2024,240.0,Good
